Time_sec,F0_Hz,F1_Hz,F2_Hz,F3_Hz,Intensity_dB
0.047719,N/A,1696.080295,2619.271391,3544.658948,35.916943
0.058385,146.646363,1713.130665,2635.381852,3550.376376,37.346727
0.069052,145.215013,145.627301,1739.460899,2557.085267,42.524754
0.079719,139.740317,311.617408,1682.221861,2215.736832,46.039321
0.090385,137.434306,330.436924,1591.362951,2245.670253,47.484882
0.101052,138.696216,341.4115,1558.154472,2227.309369,47.854957
0.111719,138.660147,349.315741,1587.072757,2234.469146,47.833697
0.122385,138.344734,347.848769,1525.021974,2146.479044,47.642072
0.133052,138.237928,334.918773,1437.676262,2210.616526,47.256925
0.143719,136.310134,332.305298,1465.899682,2187.655567,46.707957
0.154385,135.334563,332.491306,1490.81357,2145.715583,46.076028
0.165052,134.119788,322.400313,1253.088584,2282.891929,45.319585
0.175719,135.248916,314.53354,1232.468538,2326.331225,44.315693
0.186385,137.919011,302.672022,1755.372346,3702.821232,43.012495
0.197052,138.37284,259.368403,1256.81327,2317.127466,41.554063
0.207719,141.842767,252.089616,1319.700999,2593.10091,40.251438
0.218385,144.951002,215.751348,1193.061105,2500.561789,39.466158
0.229052,151.079273,214.188816,1411.101786,2711.378327,39.139492
0.239719,157.0253,200.43878,1336.30373,2439.068663,37.562447
0.250385,159.921659,1314.613358,2595.431823,4171.127621,35.458436
0.261052,160.5887,1050.532363,2564.046523,4263.17761,33.849865
0.264385,169.508135,1059.438869,2530.561657,4193.679432,N/A
0.274385,173.99669,1172.551073,2486.207061,3959.803145,N/A
0.284385,170.921703,1079.612679,2442.499569,3943.749743,N/A
